Room No.	slug	name
1	retro-suite-2-queens-kitchen	Retro Suite - 2 Queens + Kitchen
2	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
3	retro-family-suite-1-queen-2-doubles-kitchen	Retro Family Suite - 1 Queen + 2 Doubles + Kitchen
4	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
5	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
6	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
7	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
8	retro-suite-2-queens-kitchen	Retro Suite - 2 Queens + Kitchen
9	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
10	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
11	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
19	retro-suite-2-queens-kitchen	Retro Suite - 2 Queens + Kitchen
20	retro-family-suite-1-queen-2-doubles-kitchen	Retro Family Suite - 1 Queen + 2 Doubles + Kitchen
21	retro-studio-1-queen-kitchen	Retro Studio - 1 Queen + Kitchen
22	retro-studio-1-queen-kitchen	Retro Studio - 1 Queen + Kitchen
23	retro-studio-1-queen-kitchen	Retro Studio - 1 Queen + Kitchen
24	retro-studio-1-queen-kitchen	Retro Studio - 1 Queen + Kitchen
25	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
26	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
27	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
28	retro-family-suite-2-doubles-kitchen	Retro Family Suite - 2 Doubles + Kitchen
29	retro-family-suite-1-queen-2-doubles-kitchen	Retro Family Suite - 1 Queen + 2 Doubles + Kitchen
30A	beachside-studio-1-queen	Beachside Studio - 1 Queen
30B	beachside-family-suite-1-queen-1-double	Beachside Family Suite - 1 Queen + 1 Double
31A	beachside-studio-1-queen	Beachside Studio - 1 Queen
31B	beachside-family-suite-1-queen-1-double	Beachside Family Suite - 1 Queen + 1 Double
32A	beachside-studio-1-queen	Beachside Studio - 1 Queen
32B	beachside-family-suite-1-queen-1-double	Beachside Family Suite - 1 Queen + 1 Double
33A	beachside-studio-1-queen	Beachside Studio - 1 Queen
33B	beachside-family-suite-1-queen-1-double	Beachside Family Suite - 1 Queen + 1 Double
34	beachside-suite-2-doubles-kitchen	Beachside Suite - 2 Doubles + Kitchen
35	beachfront-suite-2-queens-kitchen	Beachfront Suite - 2 Queens + Kitchen
36	beachfront-suite-2-queens-kitchen	Beachfront Suite - 2 Queens + Kitchen
