Room No.	slug	name
1	beachfront-studio-1-queen-kitchen	Beachfront Studio - 1 Queen + Kitchen
2	beachside-family-suite-2-queens-kitchen	Beachside Family Suite - 2 Queens + Kitchen
3	beachside-family-suite-2-queens-kitchen	Beachside Family Suite - 2 Queens + Kitchen
4	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
5	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
6	studio-2-queens-kitchen	Studio - 2 Queens + Kitchen
7	studio-1-queen-kitchen	Studio - 1 Queen + Kitchen
8	studio-1-queen-kitchen	Studio - 1 Queen + Kitchen
9	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
10	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
11	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
12	two-bedroom-suite-2-queens-kitchen	Two Bedroom Suite - 2 Queens + Kitchen
14	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
15	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
16	studio-suite-2-queens-kitchen	Studio Suite - 2 Queens + Kitchen
17	studio-1-queen	Studio - 1 Queen
18	studio-1-queen-kitchen	Studio - 1 Queen + Kitchen
19	studio-1-queen-kitchen	Studio - 1 Queen + Kitchen
20	studio-1-queen-kitchen	Studio - 1 Queen + Kitchen
21	studio-1-queen	Studio - 1 Queen
22	studio-1-queen	Studio - 1 Queen
23	studio-2-queens	Studio - 2 Queens
24	studio-1-queen	Studio - 1 Queen
25	studio-1-queen	Studio - 1 Queen
26	studio-1-queen	Studio - 1 Queen
27	studio-suite-2-queens-kitchen	Studio Suite - 2 Queens + Kitchen
28	townside-studio-2-queens	Townside Studio - 2 Queens
29	townside-studio-2-queens	Townside Studio - 2 Queens
30	townside-studio-2-queens	Townside Studio - 2 Queens
31	townside-studio-1-queen	Townside Studio - 1 Queen
32	family-suite-2-queens-kitchen-private-balcony	Family Suite - 2 Queens + Kitchen + Private Balcony
33	family-suite-2-queens-kitchen	Family Suite - 2 Queens + Kitchen
34	townside-studio-2-queens	Townside Studio - 2 Queens
35	townside-studio-2-queens-kitchen	Townside Studio - 2 Queens + Kitchen
36	townside-studio-2-queens	Townside Studio - 2 Queens
